Site,TreeNumber,StemBleeds,BarkCracks,ExitHoles
Richmond,R1,3,1,0
Richmond,R2,0,0,0
Richmond,R3,0,0,0
Richmond,R4,2,4,0
Richmond,R5,0,11,0
Richmond,R6,0,5,0
Richmond,R7,0,5,0
Richmond,R8,0,0,0
Richmond,R9,2,3,0
Richmond,R10,0,6,1
Richmond,R11,3,2,0
Richmond,R12,0,3,0
Richmond,R13,1,0,0
Richmond,R14,4,10,0
Richmond,R15,3,12,0
Richmond,R16,0,10,20+
Richmond,R17,0,0,0
Richmond,R18,0,0,0
Richmond,R19,0,0,0
Richmond,R20,6,12,0
Richmond,R21,2,11,0
Richmond,R22,4,0,1
Richmond,R23,5,3,5
Richmond,R24,1,2,50+
Richmond,R25,2,0,0
Richmond,R26,1,9,4
Richmond,R27,0,2,0
Richmond,R28,0,2,0
Richmond,R29,0,0,0
Richmond,R30,1,1,1
Richmond,R31,0,0,0
Richmond,R32,0,0,0
Richmond,R33,0,0,5
Richmond,R34,0,0,0
Richmond,R35,0,0,0
Richmond,R36,0,0,3
Richmond,R37,0,0,0
Richmond,R38,0,2,0
Richmond,R39,1,21,6
Richmond,R40,4,0,0
Richmond,R41,1,6,0
Richmond,R42,2,8,0
Richmond,R43,0,1,0
Richmond,R44,0,7,0
Richmond,R45,1,2,50+
Richmond,R46,0,0,0
Richmond,R47,0,0,0
Richmond,R48,0,0,0
Richmond,R49,0,2,19
Richmond,R50,0,0,0
Richmond,R51,0,0,0
Richmond,R52,1,0,0
Richmond,R53,0,0,0
Richmond,R54,0,0,0
Richmond,R55,2,1,0
Richmond,R56,0,1,0
Richmond,R57,5,0,1
Richmond,R58,0,0,0
Richmond,R59,0,0,0
Richmond,R60,0,0,0
Richmond,R61,0,0,0
Richmond,R62,0,2,0
Richmond,R63,1,0,1
Richmond,R64,2,0,0
Richmond,R65,1,0,0
Richmond,R66,1,1,0
Richmond,R67,0,0,0
Richmond,R68,2,0,0
Richmond,R69,1,0,0
Richmond,R70,0,0,0
Richmond,R71,0,0,0
Richmond,R72,0,0,0
Richmond,R73,0,0,0
Richmond,R74,0,0,0
Richmond,R75,0,0,0
Richmond,R76,3,0,0
Richmond,R77,0,0,0
Richmond,R78,0,0,0
Richmond,R79,1,0,0
Richmond,R80,2,0,0
Richmond,R81,3,0,0
Richmond,R82,0,0,0
Richmond,R83,1,0,0
Richmond,R84,0,0,0
Richmond,R85,0,0,0
Richmond,R86,0,0,0
Richmond,R87,0,0,0
Richmond,R88,0,0,0
Richmond,R89,0,0,0
Richmond,R90,0,0,0
Richmond,R91,0,0,0
Richmond,R92,0,1,0
Richmond,R93,5,0,20+
Richmond,R94,0,0,0
Richmond,R95,1,0,0
Richmond,R96,0,2,0
Richmond,R97,0,2,0
Richmond,R98,4,0,0
Richmond,R99,0,0,0
Richmond,R100,0,0,0
Hatchlands,H1,1,1,0
Hatchlands,H2,0,0,0
Hatchlands,H3,0,0,0
Hatchlands,H4,8,2,0
Hatchlands,H5,0,0,0
Hatchlands,H6,0,0,0
Hatchlands,H7,0,0,0
Hatchlands,H8,3,3,0
Hatchlands,H9,9,2,0
Hatchlands,H10,2,0,50+
Hatchlands,H11,1,3,0
Hatchlands,H12,0,0,0
Hatchlands,H13,0,0,0
Hatchlands,H14,0,0,0
Hatchlands,H15,0,0,0
Hatchlands,H16,1,1,0
Hatchlands,H17,0,0,0
Hatchlands,H18,8,20+,1
Hatchlands,H19,0,0,0
Hatchlands,H20,0,0,0
Hatchlands,H21,13,4,0
Hatchlands,H22,0,0,0
Hatchlands,H23,0,0,0
Hatchlands,H24,0,0,0
Hatchlands,H25,0,0,0
Hatchlands,H26,0,0,0
Hatchlands,H27,0,0,0
Hatchlands,H28,0,0,0
Hatchlands,H29,0,0,3
Hatchlands,H30,8,0,0
Hatchlands,H31,0,1,0
Hatchlands,H32,0,0,0
Hatchlands,H33,0,0,0
Hatchlands,H34,0,0,0
Hatchlands,H35,0,0,0
Hatchlands,H36,0,0,0
Hatchlands,H37,0,0,0
Hatchlands,H38,0,0,0
Hatchlands,H39,0,1,0
Hatchlands,H40,0,0,0
Hatchlands,H41,0,0,0
Hatchlands,H42,0,0,0
Hatchlands,H421,0,0,0
Hatchlands,H43,0,0,0
Hatchlands,H44,1,3,0
Hatchlands,H45,0,0,0
Hatchlands,H46,0,2,0
Hatchlands,H47,2,1,0
Hatchlands,H48,3,2,0
Hatchlands,H49,1,0,0
Hatchlands,H50,0,5,1
Hatchlands,H51,0,0,0
Hatchlands,H52,0,0,0
Hatchlands,H53,0,0,0
Hatchlands,H54,0,0,0
Hatchlands,H55,0,0,0
Hatchlands,H56,0,6,0
Hatchlands,H57,0,0,0
Hatchlands,H58,4,3,0
Hatchlands,H59,1,9,0
Hatchlands,H60,0,0,20+
Hatchlands,H61,0,2,0
Hatchlands,H62,0,0,0
Hatchlands,H63,0,0,0
Hatchlands,H64,0,0,0
Hatchlands,H65,0,0,0
Hatchlands,H66,9,20+,0
Hatchlands,H67,0,0,0
Hatchlands,H68,0,1,0
Hatchlands,H69,0,0,0
Hatchlands,H70,0,0,0
Hatchlands,H71,1,2,0
Hatchlands,H72,0,0,0
Hatchlands,H73,0,9,0
Hatchlands,H74,0,9,19
Hatchlands,H75,0,0,0
