Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Poor,80,0.761363636,0.59375,0.738685345,0.942887931,NA,NA,0.275,0.6,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.802982732,0.64678179,0.845280765,0.676523297,0.007890356,0.072850377,0.325,0.6125,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.911945813,0.807881773,0.524509804,0.917892157,0.07347069,0.01890441,0.3625,0.7,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.542392567,0.795005807,0.936114733,0.923511517,NA,NA,0.2625,0.5125,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.75625,0.596875,1,0.8875,0.083912488,0.49280065,0.4,0.5,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.772237197,0.770215633,0.755698006,0.820156695,0.080979793,0.006961227,0.35,0.6625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.696969697,0.337121212,0.967243187,0.916142558,0.172555097,0.169140578,0.3375,0.55,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.850980392,0.58872549,0.906609195,0.957758621,0.013219235,0.063862138,0.25,0.6375,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.584495488,0.840442986,0.963937622,0.99122807,0.0584071,0.0390207,0.2875,0.6625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.69973545,0.508597884,0.865384615,0.903846154,0.037587316,0.027639604,0.35,0.675,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.634551495,0.781146179,0.637733888,0.778586279,0.02965499,0.017780473,0.35,0.5375,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.525625,0.860625,0.989583333,0.947916667,NA,NA,0.4,0.625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.665113872,0.522774327,0.627192982,0.960526316,0.002504223,0.030327199,0.2875,0.525,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.650829563,0.786199095,0.937739464,0.962962963,NA,NA,0.325,0.6375,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.711538462,0.75,0.806318681,0.964285714,0.09240658,0.143291516,0.35,0.65,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.822537711,0.590062112,0.882852292,0.923882286,NA,NA,0.2875,0.6125,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.803459119,0.616352201,0.936838624,0.863425926,0.13380555,0.133056694,0.3,0.6625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.629090909,0.643636364,0.972727273,0.905454545,NA,NA,0.3125,0.6875,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.706086957,0.696086957,0.761403509,0.888596491,0.009615716,0.073774803,0.2875,0.625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.797619048,0.678571429,0.926628011,0.948260482,NA,NA,0.2625,0.525,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.708888889,0.606666667,0.796103896,0.906493506,0.038418272,0.038275869,0.3125,0.5625,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.707107843,0.761029412,0.717980296,0.877463054,0.076323974,0.09784553,0.3,0.6375,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.64375,0.686607143,0.917708333,0.924305556,0.030252624,0.127973187,0.4375,0.6,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.821593153,0.790980908,0.80118499,0.916721527,NA,NA,0.3875,0.6125,NA,NA,NA,NA,NA,NA
no cov,Poor,80,0.786666667,0.6625,0.713690476,0.974404762,0.112482541,0.07423275,0.3,0.625,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.785384615,0.931481481,0.804615385,0.775925926,0.062454547,0.003686895,0.325,0.625,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.726084184,0.777217742,0.758609694,0.862567204,0.074681395,0.085191433,0.4,0.6125,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.496212121,0.754960317,0.6875,0.799603175,0.076186742,0.003001034,0.3,0.55,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.714700193,0.902821317,0.699709865,0.714994775,0.113740821,0.097730326,0.275,0.5875,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.518914474,0.745471014,0.782346491,1,0.119832003,0.012159172,0.4,0.7125,NA,NA,NA,NA,NA,NA
no cov,Good one,80,0.636778116,0.965617716,0.754179331,0.747086247,0.038321731,0.059037906,0.35,0.5875,NA,NA,NA,NA,NA,NA
